,job title,company,location,country,job_type_list,workplace,career_level,url
388,Sales Representative HORECA,Basco Engineering &Trading,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/E6ONqP0ysbxY-Sales-Representative-HORECA-Basco-Engineering-Trading-Cairo-Egypt
389,Talent Acquisition Specialist,Alarabia Group,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/2RPJMPJWXfor-Talent-Acquisition-Specialist-Alarabia-Group-Sharqia-Egypt
390,Interior Architect,Confidential,Zamalek Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/CQP5RRn9crAh-Interior-Architect-Cairo-Egypt
391,WFM Supervisor,Enable,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/vXCEYgfJUtZP-WFM-Supervisor-Enable-Giza-Egypt
392,Performance Management Senior Specialist,MEAHCO - Saudi German Health,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/4KXduXmp7cVb-Performance-Management-Senior-Specialist-MEAHCO---Saudi-German-Health-Cairo-Egypt
393,Customer Service Representative - Vodafone UK and Ireland,_VOIS Egypt,Cairo,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/UE59yGuhzJN1-Customer-Service-Representative---Vodafone-UK-and-Ireland-VOIS-Egypt-Cairo-Egypt
394,Sales Account Manager,Stage systems,Riyadh,Saudi Arabia,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/A9S8DCr4wiTx-Sales-Account-Manager-Stage-systems-Riyadh-Saudi-Arabia
395,Interior Designer,Stage systems,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/YMbQGiSF8zqX-Interior-Designer-Stage-systems-Cairo-Egypt
396,Bid Manager (Tenders),Stage systems,Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/U6hQgc0fMYsq-Bid-Manager-Tenders-Stage-systems-Cairo-Egypt
397,Pre Sales Engineer - Low Current,Stage systems,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/oGYzNvkaVRSm-Pre-Sales-Engineer---Low-Current-Stage-systems-Cairo-Egypt
398,Pre Sales Engineer,Stage systems,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Nk9edwXBi61A-Pre-Sales-Engineer-Stage-systems-Cairo-Egypt
399,Social Media Specialist - Real Estate,Findwell Real Estate Consultancy,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/OmSH42MiVKy9-Social-Media-Specialist---Real-Estate-Findwell-Real-Estate-Consultancy-Cairo-Egypt
400,Regional Business Development,eBSEG,Maadi Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/Us57aWL9LRrZ-Regional-Business-Development-eBSEG-Cairo-Egypt
401,Senior Structural Design Engineer,Corner wise,Sheraton Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/90RNAdi97PUu-Senior-Structural-Design-Engineer-Corner-wise-Cairo-Egypt
402,Recruitment Specialist,Confidential,Heliopolis Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/W4fzQc2LrEGt-Recruitment-Specialist-Cairo-Egypt
403,Electrical Site Engineer,ECE,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/9FRmbVTtp6ts-Electrical-Site-Engineer-ECE-Cairo-Egypt
404,Textile Engineer,"ELVAN Knitting, Dyeing and finishing S.A.E",Bourj Alarab Alexandria,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/yYqSQbjxnX4b-Textile-Engineer-ELVAN-Knitting-Dyeing-and-finishing-S-A-E-Alexandria-Egypt
405,Cyber Security Engineer,Confidential,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/xqnnnNinViTZ-Cyber-Security-Engineer-Cairo-Egypt
406,Store Manager (Fashion Retail),HK Designs,Heliopolis Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/YovD1qZwjaBe-Store-Manager-Fashion-Retail-HK-Designs-Cairo-Egypt
407,Senior Export Sales Specialist,Egyptian Packaging and Plastic Systems Corp,Manial Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/O3z6s2gD2B9y-Senior-Export-Sales-Specialist-Egyptian-Packaging-and-Plastic-Systems-Corp-Cairo-Egypt
408,Senior Network Engineer,Confidential,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/b1NPRaplAPiu-Senior-Network-Engineer-Cairo-Egypt
409,Senior Governmental Affairs Administrator,Confidential,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/xj0TAWTkwkQA-Senior-Governmental-Affairs-Administrator-Giza-Egypt
410,Senior Urban & Landscape Architect,Cubetiq Construction,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/ny6CBQatEU7A-Senior-Urban-Landscape-Architect-Cubetiq-Construction-Cairo-Egypt
